Outer_Fold,Policy,Region_ID,Region_N,Expert_Index,Expert_Name,Base_NLL,Base_ECE,Expert_NLL,Expert_ECE,Regional_NLL_Gain,Regional_ECE_Drift,Eligible
0,BGF-v1,0,305,1,Snapshot MLP ensemble,0.3032849913588164,0.033984225426646426,0.15875575075389028,0.021680414712187974,0.14452924060492614,-0.012303810714458453,True
0,BGF-v1,0,305,2,Transformer ensemble,0.3032849913588164,0.033984225426646426,0.129048167299113,0.02964612417728149,0.17423682405970342,-0.004338101249364935,True
0,BGF-v1,0,305,3,DeiT-III Small,0.3032849913588164,0.033984225426646426,0.08920075878821436,0.01738740069050025,0.21408423257060205,-0.016596824736146175,True
0,BGF-v1,1,240,1,Snapshot MLP ensemble,0.2779562346911414,0.14930026214157915,0.010297795337464305,0.008386034479581379,0.26765843935367706,-0.14091422766199777,True
0,BGF-v1,1,240,2,Transformer ensemble,0.2779562346911414,0.14930026214157915,0.019142178131144383,0.016569106650869643,0.258814056559997,-0.13273115549070952,True
0,BGF-v1,1,240,3,DeiT-III Small,0.2779562346911414,0.14930026214157915,0.007807763797728407,0.006650669631259166,0.270148470893413,-0.14264959251032,True
0,BGF-v1,2,147,1,Snapshot MLP ensemble,0.19925868627012056,0.09970038437817265,0.20645384210143972,0.037830815036454274,-0.007195155831319161,-0.061869569341718375,False
0,BGF-v1,2,147,2,Transformer ensemble,0.19925868627012056,0.09970038437817265,0.19750686106809773,0.0443079884375972,0.0017518252020228275,-0.05539239594057545,False
0,BGF-v1,2,147,3,DeiT-III Small,0.19925868627012056,0.09970038437817265,0.038782552272938225,0.018936785552651495,0.16047613399718233,-0.08076359882552116,True
1,BGF-v1,0,305,1,Snapshot MLP ensemble,0.3128385917296486,0.048248515147395796,0.14166291646769252,0.03317462819790019,0.1711756752619561,-0.015073886949495609,True
1,BGF-v1,0,305,2,Transformer ensemble,0.3128385917296486,0.048248515147395796,0.10977556415785333,0.019788436332530395,0.20306302757179528,-0.0284600788148654,True
1,BGF-v1,0,305,3,DeiT-III Small,0.3128385917296486,0.048248515147395796,0.053903779865278195,0.014095263541313628,0.2589348118643704,-0.034153251606082166,True
1,BGF-v1,1,246,1,Snapshot MLP ensemble,0.3133816936632487,0.15363860176690372,0.049851410627357214,0.012308027951123825,0.2635302830358915,-0.1413305738157799,True
1,BGF-v1,1,246,2,Transformer ensemble,0.3133816936632487,0.15363860176690372,0.024249887679831886,0.011739343437421439,0.2891318059834168,-0.14189925832948228,True
1,BGF-v1,1,246,3,DeiT-III Small,0.3133816936632487,0.15363860176690372,0.012306555591774612,0.006375825278452908,0.30107513807147407,-0.14726277648845082,True
1,BGF-v1,2,141,1,Snapshot MLP ensemble,0.18464601007791995,0.1134207841740009,0.16800835769007877,0.039177249527171006,0.01663765238784118,-0.0742435346468299,True
1,BGF-v1,2,141,2,Transformer ensemble,0.18464601007791995,0.1134207841740009,0.041939109983495065,0.02172834468606734,0.14270690009442488,-0.09169243948793356,True
1,BGF-v1,2,141,3,DeiT-III Small,0.18464601007791995,0.1134207841740009,0.03782830268158415,0.010119199193278755,0.1468177073963358,-0.10330158498072214,True
2,BGF-v1,0,299,1,Snapshot MLP ensemble,0.31749650822599973,0.03258497707167063,0.16652822251703414,0.01935726689605244,0.1509682857089656,-0.01322771017561819,True
2,BGF-v1,0,299,2,Transformer ensemble,0.31749650822599973,0.03258497707167063,0.1774927901846737,0.018337550095813993,0.14000371804132603,-0.014247426975856636,True
2,BGF-v1,0,299,3,DeiT-III Small,0.31749650822599973,0.03258497707167063,0.08307818637788512,0.011957482892424326,0.23441832184811462,-0.0206274941792463,True
2,BGF-v1,1,251,1,Snapshot MLP ensemble,0.32472458624184697,0.16102710293017927,0.010301187551887754,0.0095074954272404,0.3144233986899592,-0.15151960750293886,True
2,BGF-v1,1,251,2,Transformer ensemble,0.32472458624184697,0.16102710293017927,0.02245702983491991,0.01857343730835002,0.30226755640692704,-0.14245366562182926,True
2,BGF-v1,1,251,3,DeiT-III Small,0.32472458624184697,0.16102710293017927,0.006769216973750397,0.006732029145232188,0.3179553692680966,-0.15429507378494708,True
2,BGF-v1,2,143,1,Snapshot MLP ensemble,0.20599432170051496,0.09031730472282601,0.14048878320705271,0.04830470277907226,0.06550553849346225,-0.042012601943753745,True
2,BGF-v1,2,143,2,Transformer ensemble,0.20599432170051496,0.09031730472282601,0.10254419357340128,0.033247686328298984,0.10345012812711368,-0.057069618394527025,True
2,BGF-v1,2,143,3,DeiT-III Small,0.20599432170051496,0.09031730472282601,0.1347606803392699,0.031027968388905543,0.07123364136124505,-0.059289336333920466,True
3,BGF-v1,0,146,1,Snapshot MLP ensemble,0.21906464484418456,0.09019878601960007,0.1376858450116267,0.021235716619734713,0.08137879983255786,-0.06896306939986536,True
3,BGF-v1,0,146,2,Transformer ensemble,0.21906464484418456,0.09019878601960007,0.09971525775335424,0.026499728327455625,0.11934938709083032,-0.06369905769214446,True
3,BGF-v1,0,146,3,DeiT-III Small,0.21906464484418456,0.09019878601960007,0.06994905825656847,0.02830357072847054,0.1491155865876161,-0.061895215291129534,True
3,BGF-v1,1,297,1,Snapshot MLP ensemble,0.2770467205437486,0.051366684768598125,0.12400199000887153,0.023986674579134233,0.1530447305348771,-0.027380010189463892,True
3,BGF-v1,1,297,2,Transformer ensemble,0.2770467205437486,0.051366684768598125,0.1008954498610746,0.019298157335323328,0.17615127068267403,-0.0320685274332748,True
3,BGF-v1,1,297,3,DeiT-III Small,0.2770467205437486,0.051366684768598125,0.08245587538981902,0.012518540049766873,0.1945908451539296,-0.03884814471883125,True
3,BGF-v1,2,251,1,Snapshot MLP ensemble,0.3193997163996441,0.15598186778465134,0.005220026915719401,0.005028439458317888,0.3141796894839247,-0.15095342832633346,True
3,BGF-v1,2,251,2,Transformer ensemble,0.3193997163996441,0.15598186778465134,0.010809724963662292,0.009611960214515136,0.3085899914359818,-0.1463699075701362,True
3,BGF-v1,2,251,3,DeiT-III Small,0.3193997163996441,0.15598186778465134,0.008407077867316726,0.007417377997292139,0.3109926385323274,-0.1485644897873592,True
4,BGF-v1,0,311,1,Snapshot MLP ensemble,0.32461943296017093,0.02534565146837526,0.25062647674578503,0.03164266233573254,0.0739929562143859,0.006297010867357282,True
4,BGF-v1,0,311,2,Transformer ensemble,0.32461943296017093,0.02534565146837526,0.26363841540047067,0.048770799842812025,0.06098101755970026,0.023425148374436766,False
4,BGF-v1,0,311,3,DeiT-III Small,0.32461943296017093,0.02534565146837526,0.11525509842536123,0.016815727756886605,0.20936433453480968,-0.008529923711488654,True
4,BGF-v1,1,138,1,Snapshot MLP ensemble,0.18996250558047015,0.10634131086660478,0.15989592468531572,0.06453251117635024,0.030066580895154432,-0.04180879969025454,True
4,BGF-v1,1,138,2,Transformer ensemble,0.18996250558047015,0.10634131086660478,0.15635453193932342,0.03848109967071998,0.03360797364114673,-0.06786021119588481,True
4,BGF-v1,1,138,3,DeiT-III Small,0.18996250558047015,0.10634131086660478,0.03609374562334929,0.016320495355010244,0.15386875995712085,-0.09002081551159453,True
4,BGF-v1,2,244,1,Snapshot MLP ensemble,0.2981709063502512,0.15686153533312147,0.01643823272459602,0.014457157858473128,0.28173267362565513,-0.14240437747464835,True
4,BGF-v1,2,244,2,Transformer ensemble,0.2981709063502512,0.15686153533312147,0.06126835711394161,0.024772398635515128,0.23690254923630957,-0.13208913669760636,True
4,BGF-v1,2,244,3,DeiT-III Small,0.2981709063502512,0.15686153533312147,0.032673150186323996,0.008887556794604038,0.2654977561639272,-0.14797397853851743,True
